memory_tag,title,postal_area
memory_tag
AA,Anglia,"Peterborough, Norwich, Ipswich"
AB,Anglia,"Peterborough, Norwich, Ipswich"
AC,Anglia,"Peterborough, Norwich, Ipswich"
AD,Anglia,"Peterborough, Norwich, Ipswich"
AE,Anglia,"Peterborough, Norwich, Ipswich"
AF,Anglia,"Peterborough, Norwich, Ipswich"
AG,Anglia,"Peterborough, Norwich, Ipswich"
AH,Anglia,"Peterborough, Norwich, Ipswich"
AJ,Anglia,"Peterborough, Norwich, Ipswich"
AK,Anglia,"Peterborough, Norwich, Ipswich"
AL,Anglia,"Peterborough, Norwich, Ipswich"
AM,Anglia,"Peterborough, Norwich, Ipswich"
AN,Anglia,"Peterborough, Norwich, Ipswich"
AO,Anglia,"Peterborough, Norwich, Ipswich"
AP,Anglia,"Peterborough, Norwich, Ipswich"
AR,Anglia,"Peterborough, Norwich, Ipswich"
AS,Anglia,"Peterborough, Norwich, Ipswich"
AT,Anglia,"Peterborough, Norwich, Ipswich"
AU,Anglia,"Peterborough, Norwich, Ipswich"
AV,Anglia,"Peterborough, Norwich, Ipswich"
AW,Anglia,"Peterborough, Norwich, Ipswich"
AX,Anglia,"Peterborough, Norwich, Ipswich"
AY,Anglia,"Peterborough, Norwich, Ipswich"
BA,Birmingham,Birmingham
BB,Birmingham,Birmingham
BC,Birmingham,Birmingham
BD,Birmingham,Birmingham
BE,Birmingham,Birmingham
BF,Birmingham,Birmingham
BG,Birmingham,Birmingham
BH,Birmingham,Birmingham
BI,Birmingham,Birmingham
BJ,Birmingham,Birmingham
BK,Birmingham,Birmingham
BL,Birmingham,Birmingham
BM,Birmingham,Birmingham
BN,Birmingham,Birmingham
BO,Birmingham,Birmingham
BP,Birmingham,Birmingham
BQ,Birmingham,Birmingham
BR,Birmingham,Birmingham
BS,Birmingham,Birmingham
BT,Birmingham,Birmingham
BU,Birmingham,Birmingham
BV,Birmingham,Birmingham
BW,Birmingham,Birmingham
BX,Birmingham,Birmingham
BY,Birmingham,Birmingham
CA,Crymru,"Cardiff, Swansea, Bangor"
CB,Crymru,"Cardiff, Swansea, Bangor"
CC,Crymru,"Cardiff, Swansea, Bangor"
CD,Crymru,"Cardiff, Swansea, Bangor"
CE,Crymru,"Cardiff, Swansea, Bangor"
CF,Crymru,"Cardiff, Swansea, Bangor"
CG,Crymru,"Cardiff, Swansea, Bangor"
CH,Crymru,"Cardiff, Swansea, Bangor"
CJ,Crymru,"Cardiff, Swansea, Bangor"
CK,Crymru,"Cardiff, Swansea, Bangor"
CL,Crymru,"Cardiff, Swansea, Bangor"
CM,Crymru,"Cardiff, Swansea, Bangor"
CN,Crymru,"Cardiff, Swansea, Bangor"
CO,Crymru,"Cardiff, Swansea, Bangor"
CP,Crymru,"Cardiff, Swansea, Bangor"
CR,Crymru,"Cardiff, Swansea, Bangor"
CS,Crymru,"Cardiff, Swansea, Bangor"
CT,Crymru,"Cardiff, Swansea, Bangor"
CU,Crymru,"Cardiff, Swansea, Bangor"
CV,Crymru,"Cardiff, Swansea, Bangor"
CW,Crymru,"Cardiff, Swansea, Bangor"
CX,Crymru,"Cardiff, Swansea, Bangor"
CY,Crymru,"Cardiff, Swansea, Bangor"
DA,"Deeside to Shrewsbury","Chester, Shrewsbury"
DB,"Deeside to Shrewsbury","Chester, Shrewsbury"
DC,"Deeside to Shrewsbury","Chester, Shrewsbury"
DD,"Deeside to Shrewsbury","Chester, Shrewsbury"
DE,"Deeside to Shrewsbury","Chester, Shrewsbury"
DF,"Deeside to Shrewsbury","Chester, Shrewsbury"
DG,"Deeside to Shrewsbury","Chester, Shrewsbury"
DH,"Deeside to Shrewsbury","Chester, Shrewsbury"
DJ,"Deeside to Shrewsbury","Chester, Shrewsbury"
DK,"Deeside to Shrewsbury","Chester, Shrewsbury"
DL,"Deeside to Shrewsbury","Chester, Shrewsbury"
DM,"Deeside to Shrewsbury","Chester, Shrewsbury"
DN,"Deeside to Shrewsbury","Chester, Shrewsbury"
DO,"Deeside to Shrewsbury","Chester, Shrewsbury"
DP,"Deeside to Shrewsbury","Chester, Shrewsbury"
DR,"Deeside to Shrewsbury","Chester, Shrewsbury"
DS,"Deeside to Shrewsbury","Chester, Shrewsbury"
DT,"Deeside to Shrewsbury","Chester, Shrewsbury"
DU,"Deeside to Shrewsbury","Chester, Shrewsbury"
DV,"Deeside to Shrewsbury","Chester, Shrewsbury"
DW,"Deeside to Shrewsbury","Chester, Shrewsbury"
DX,"Deeside to Shrewsbury","Chester, Shrewsbury"
DY,"Deeside to Shrewsbury","Chester, Shrewsbury"
EA,Essex," Chelmsford"
EB,Essex," Chelmsford"
EC,Essex," Chelmsford"
ED,Essex," Chelmsford"
EE,Essex," Chelmsford"
EF,Essex," Chelmsford"
EG,Essex," Chelmsford"
EH,Essex," Chelmsford"
EI,Essex," Chelmsford"
EJ,Essex," Chelmsford"
EK,Essex," Chelmsford"
EL,Essex," Chelmsford"
EM,Essex," Chelmsford"
EN,Essex," Chelmsford"
EO,Essex," Chelmsford"
EP,Essex," Chelmsford"
EQ,Essex," Chelmsford"
ER,Essex," Chelmsford"
ES,Essex," Chelmsford"
ET,Essex," Chelmsford"
EU,Essex," Chelmsford"
EV,Essex," Chelmsford"
EW,Essex," Chelmsford"
EX,Essex," Chelmsford"
EY,Essex," Chelmsford"
FA,"Forest & Fens","Nottingham, Lincoln"
FB,"Forest & Fens","Nottingham, Lincoln"
FC,"Forest & Fens","Nottingham, Lincoln"
FD,"Forest & Fens","Nottingham, Lincoln"
FE,"Forest & Fens","Nottingham, Lincoln"
FF,"Forest & Fens","Nottingham, Lincoln"
FG,"Forest & Fens","Nottingham, Lincoln"
FH,"Forest & Fens","Nottingham, Lincoln"
FJ,"Forest & Fens","Nottingham, Lincoln"
FK,"Forest & Fens","Nottingham, Lincoln"
FL,"Forest & Fens","Nottingham, Lincoln"
FM,"Forest & Fens","Nottingham, Lincoln"
FN,"Forest & Fens","Nottingham, Lincoln"
FP,"Forest & Fens","Nottingham, Lincoln"
FR,"Forest & Fens","Nottingham, Lincoln"
FS,"Forest & Fens","Nottingham, Lincoln"
FT,"Forest & Fens","Nottingham, Lincoln"
FV,"Forest & Fens","Nottingham, Lincoln"
FW,"Forest & Fens","Nottingham, Lincoln"
FX,"Forest & Fens","Nottingham, Lincoln"
FY,"Forest & Fens","Nottingham, Lincoln"
GA,"Garden of England","Maidstone, Brighton"
GB,"Garden of England","Maidstone, Brighton"
GC,"Garden of England","Maidstone, Brighton"
GD,"Garden of England","Maidstone, Brighton"
GE,"Garden of England","Maidstone, Brighton"
GF,"Garden of England","Maidstone, Brighton"
GG,"Garden of England","Maidstone, Brighton"
GH,"Garden of England","Maidstone, Brighton"
GJ,"Garden of England","Maidstone, Brighton"
GK,"Garden of England","Maidstone, Brighton"
GL,"Garden of England","Maidstone, Brighton"
GM,"Garden of England","Maidstone, Brighton"
GN,"Garden of England","Maidstone, Brighton"
GO,"Garden of England","Maidstone, Brighton"
GP,"Garden of England","Maidstone, Brighton"
GR,"Garden of England","Maidstone, Brighton"
GS,"Garden of England","Maidstone, Brighton"
GT,"Garden of England","Maidstone, Brighton"
GU,"Garden of England","Maidstone, Brighton"
GV,"Garden of England","Maidstone, Brighton"
GW,"Garden of England","Maidstone, Brighton"
GX,"Garden of England","Maidstone, Brighton"
GY,"Garden of England","Maidstone, Brighton"
HA,"Hampshire & Dorset","Bournemouth, Portsmouth"
HB,"Hampshire & Dorset","Bournemouth, Portsmouth"
HC,"Hampshire & Dorset","Bournemouth, Portsmouth"
HD,"Hampshire & Dorset","Bournemouth, Portsmouth"
HE,"Hampshire & Dorset","Bournemouth, Portsmouth"
HF,"Hampshire & Dorset","Bournemouth, Portsmouth"
HG,"Hampshire & Dorset","Bournemouth, Portsmouth"
HH,"Hampshire & Dorset","Bournemouth, Portsmouth"
HJ,"Hampshire & Dorset","Bournemouth, Portsmouth"
HK,"Hampshire & Dorset","Bournemouth, Portsmouth"
HL,"Hampshire & Dorset","Bournemouth, Portsmouth"
HM,"Hampshire & Dorset","Bournemouth, Portsmouth"
HN,"Hampshire & Dorset","Bournemouth, Portsmouth"
HO,"Hampshire & Dorset","Bournemouth, Portsmouth"
HP,"Hampshire & Dorset","Bournemouth, Portsmouth"
