AA AB AC AD AE AF AG AH AJ AK AL AM AN AO AP AR AS AT AU AV AW AX AY,Anglia, "Peterborough, Norwich, Ipswich"
BA BB BC BD BE BF BG BH BI BJ BK BL BM BN BO BP BQ BR BS BT BU BV BW BX BY, "Birmingham", "Birmingham"
CA CB CC CD CE CF CG CH CJ CK CL CM CN CO CP CR CS CT CU CV CW CX CY,Crymru, "Cardiff, Swansea, Bangor"
DA DB DC DD DE DF DG DH DJ DK DL DM DN DO DP DR DS DT DU DV DW DX DY, "Deeside to Shrewsbury", "Chester, Shrewsbury"
EA EB EC ED EE EF EG EH EI EJ EK EL EM EN EO EP EQ ER ES ET EU EV EW EX EY, "Essex", Chelmsford
FA FB FC FD FE FF FG FH FJ FK FL FM FN FP FR FS FT FV FW FX FY, "Forest & Fens", "Nottingham, Lincoln"
GA GB GC GD GE GF GG GH GJ GK GL GM GN GO GP GR GS GT GU GV GW GX GY, "Garden of England", "Maidstone, Brighton"
HA HB HC HD HE HF HG HH HJ HK HL HM HN HO HP HR HS HT HU HV HW HX HY, "Hampshire & Dorset", "Bournemouth, Portsmouth"
HW, "Isle of Wight", "Isle of Wight"
KA KB KC KD KE KF KG KH KJ KK KL KM KN KO KP KR KS KT KU KV KW KX KY,"","Borehamwood, Northampton"
LA LB LC LD LE LF LG LH LJ LK LL LM LN LO LP LR LS LT LU LV LW LX LY, "London","Wimbledon, Borehamwood, Sidcup"
MA MB MC MD ME MF MG MH MI MJ MK ML MM MO MP MQ MR MS MT MU MV MW MX MY,"Manchester & Merseyside", "Manchester"
MN MAN, Isle of Man, "Isle of Man"
NA NB NC ND NE NG NH NJ NK NL NM NN NO NP NR NS NT NU NV NW NX NY, "North", "Newcastle, Stockton"
OA OB OC OD OE OF OG OH OI OJ OK OL OM ON OO OP OQ OR OS OT OU OV OW OX OY, "Oxford", "Oxford"
PA PB PC PD PE PF PG PH PJ PK PL PM PN PO PP PR PS PT PU PV PW PX PY, "Preston", "Preston, Carlisle",
RA RB RC RD RE RF RG RH RI RJ RK RL RM RN RO RP RQ RR RS RT RU RV RW RX RY, "Reading", "Theale"
SA SB SC SD SE SF SG SH SJ SK SL SM SN SO SP SR SS ST SU SV SW SX SY, "Scotland", "Glasgow, Edinburgh, Dundee, Aberdeen, Inverness"
VA VB VC VD VE VF VG VH VI VJ VK VL VM VN VO VP VQ VR VS VT VU VV VW VX VY, "Severn Valley", "Worcester"
WA WB WC WD WE WF WG WH WJ WK WL WM WN WO WP WR WS WT WU WV WW WX WY, "West of England", "Exeter, Truro, Bristol"
YA YB YC YD YE YF YG YH YJ YK YL YM YN YO YP YR YS YT YU YV YW YX YY, "Yorkshire", "Leeds, Sheffield, Beverley"
